plot,petak,total.grid,total.subgrid,TP,FP,FN,TN,accuracy..,Precision..,recall..,f1score..,coverage.issues..
1,03G2006000,14359,182,71,0,111,0,39.01,100,39.01,56.13,100
2,03G2006000,14359,196,131,24,11,30,82.14,84.52,92.25,88.22,72.45
3,03G2006000,14359,196,115,29,24,28,72.96,79.86,82.73,81.27,70.92
4,03G2006000,14359,196,111,53,14,18,65.82,67.68,88.8,76.82,63.78
5,03G2006000,14359,196,135,30,21,10,73.98,81.82,86.54,84.11,79.59
1,06J6001300,40355,210,1,129,0,80,38.57,0.77,100,1.53,0.48
2,06J6001300,40355,210,9,108,0,93,48.57,7.69,100,14.29,4.29
3,06J6001300,40355,210,19,189,0,2,10,9.13,100,16.74,9.05
4,06J6001300,40355,210,61,149,0,0,29.05,29.05,100,45.02,29.05
5,06J6001300,40355,210,49,160,0,1,23.81,23.44,100,37.98,23.33
1,15D4000700,24620,196,141,22,2,31,87.76,86.5,98.6,92.16,72.96
2,15D4000700,24620,210,54,6,61,89,68.1,90,46.96,61.71,54.76
3,15D4000700,24620,196,48,7,39,102,76.53,87.27,55.17,67.61,44.39
4,15D4000700,24620,210,59,0,53,98,74.76,100,52.68,69.01,53.33
5,15D4000700,24620,210,107,6,42,55,77.14,94.69,71.81,81.68,70.95
6,15D4000700,24620,196,31,1,25,139,86.73,96.88,55.36,70.45,28.57
7,15D4000700,24620,210,43,1,61,105,70.48,97.73,41.35,58.11,49.52
8,15D4000700,24620,196,82,28,20,66,75.51,74.55,80.39,77.36,52.04
1,01K2008000,24618,225,207,18,0,0,92,92,100,95.83,92
2,01K2008000,24618,225,223,1,1,0,99.11,99.55,99.55,99.55,99.56
3,01K2008000,24618,225,202,22,1,0,89.78,90.18,99.51,94.61,90.22
4,01K2008000,24618,210,176,19,3,12,89.52,90.26,98.32,94.12,85.24
5,01K2008000,24618,196,126,43,3,24,76.53,74.56,97.67,84.56,65.82
6,01K2008000,24618,210,191,13,1,5,93.33,93.63,99.48,96.46,91.43
7,01K2008000,24618,210,198,11,0,1,94.76,94.74,100,97.3,94.29
8,01K2008000,24618,210,197,6,1,6,96.67,97.04,99.49,98.25,94.29
